	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	3	2	2
1	valutare il premio	2	2	2
2	ristrutturare il sistema	3	2	2
3	edificare l'appartamento	3	4	4
4	demolire l'appartamento	4	5	4
5	sostenere il programma	4	3	3
6	edificare la biblioteca	3	4	3
7	istituire il corso	4	3	2
8	istituire la proposta	2	2	1
9	demolire l'economia	3	2	2
10	valutare il programma	5	2	3
11	valutare il progetto	5	2	3
12	sospendere il progetto	5	2	3
13	sostenere il servizio	4	2	2
14	valutare il corso	5	2	3
15	valutare la proposta	5	2	3
16	sospendere il sistema	3	2	1
17	istituire il premio	3	3	2
18	edificare il sistema	1	1	1
19	sospendere il programma	5	3	4
20	sostenere il sistema	4	2	2
21	edificare il museo	3	4	3
22	edificare l'economia	1	1	1
23	istituire l'economia	1	1	1
24	sostenere la proposta	5	3	2
25	sospendere la proposta	1	2	1
26	demolire il sistema	3	2	1
27	valutare l'economia	5	2	3
28	demolire la biblioteca	3	5	4
29	ristrutturare il museo	4	5	4
30	istituire il programma	4	3	4
31	sostenere l'economia	4	3	3
32	demolire il museo	3	5	4
33	ristrutturare la biblioteca	4	5	4
34	sospendere il corso	5	3	4
35	istituire il progetto	3	2	2
36	sospendere l'economia	1	2	1
37	valutare il servizio	5	3	3
